# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     3.000         0         1          5799
     4.000         3         0           769
     3.300         2         0           772
     3.100         3         0           773
     3.700         1         0           774
     2.600         2         0           782
     5.000        26         0           791
     3.400         1         0           792
     4.000         5         0          5839
     3.800         3         0          9763
     3.900         1         2         12767
     2.600         1         0          5840
     2.800         0         3          5852
     3.500         1         0          5804
     2.800         1         2          5853
     3.000         1         0          5855
     2.700         1         0          5857
     2.500         1         0         35185
     3.200         1         1          5858
     3.200         3         0           822
     3.900         2         1          5860
     3.000         1         0           825
     4.500        11         0          9776
     3.300         1         1          5863
     3.600         1         0           827
     3.300         1         0           828
     3.500         3         0          9778
     3.400         1         0         12787
     2.900         1         0           832
     3.300         2         0          5868
     3.200         2         0         20659
     2.900         0         1          9783
     3.600         4         0           840
     3.300         0         2         12792
     3.500         1         0          5877
     4.700        13         0          5878
     3.500         1         0           843
     4.100         2         0           850
     3.000         1         0           851
     3.200         1         0         20665
     3.100         1         1          5886
     3.500         1         0           858
     3.400         2         0         20664
     2.900         0         1          5891
     4.200         1         0           876
     2.500         1         0           884
     3.200         1         0           885
     4.200         2         0          5900
     3.900         4         1         12804
     3.700         4         0         26578
     3.400         1         0           894
     3.300         1         0           898
     2.800         0         1          9805
     2.800         0         1         12766
     2.900         0         1          5908
     5.200        42         0           915
     4.700         5         2          9815
     5.100        20         0          5925
     2.900         0         1         12826
     4.100         4         1          9844
     3.900         5         1         26586
     2.600         1         0         12815
     2.900         1         0         30963
     3.400         2         0         12832
     4.600         3         0         20698
     3.400         2         0          9806
     2.700         1         0           931
     3.300         1         0           941
     2.600         0         1          5942
     3.500         1         0          5945
     3.800         4         0           955
     5.600        54         0           966
     2.900         0         1         20701
     4.300         2         0          5982
     3.100         1         0         12852
     4.200         5         0           972
     5.200        23         0          9877
     5.200        40         4         26597
     3.200         0         1         52177
     2.700         1         0         30974
     3.800         2         0         38792
     2.700         2         0         30988
     3.500         1         0         26600
     3.600         1         0          6015
     3.800         1         0         42044
     3.900         1         0         47367
     3.600         5         0         44883
     3.300         1         0           990
     3.400         2         0         31001
     4.100         2         0          1002
     3.500         1         0         49786
     3.100         0         1         12887
     3.900         1         0         54281
     4.900        32         0         56139
     3.900         3         0         59114
     2.800         0         1         59125
     5.700        71         0          1010
     3.100         1         0          6078
     3.200         0         1          9889
     4.300         7         0          1011
     3.300         1         0         35217
     3.400         3         0          1013
     2.700         1         0          9920
     3.200         0         1          6058
     6.000       174        11         56130
     3.400         0         2         12886
     2.800         1         0         60341
     2.700         1         0         57672
     2.800         0         1         60313
     2.500         1         0         54277
     3.000         0         1         60320
     2.800         1         0         60342
     4.100         7         2         64469
     3.100         0         1          6096
     3.700         1         0         57696
     2.700         0         1          6095
     3.900         1         0          1021
     3.600         1         0          6097
     4.200         2         0         59094
     3.100         0         1         57744
     3.300         0         1         57743
     4.100         2         2          6100
     3.700         1         0         61144
     3.900         1         0          6102
     3.800         5         1         65199
     3.300         1         0          9851
     3.700         1         0         12844
     3.100         1         0         65197
     3.500         0         3         63871
     3.300         1         0          1033
     2.600         1         0          9923
     3.400         3         1          6107
     4.100         1         3         26591
     3.500         2         0          9885
     3.300         1         0          9854
     3.700         1         0         26577
     3.300         1         0         20692
     3.100         1         1          6109
     3.800         1         0         52169
     3.800         5         0          1055
     3.200         1         0          1056
     3.800         2         0         26601
     2.800         0         1          6115
     4.200         4         0         12881
     3.400         1         0          1061
     2.700         1         0          1062
     3.500         1         0          6049
     3.700         2         1         26602
     3.000         1         1         35221
     3.700         1         0          1065
     3.000         1         0          9935
     3.000         1         0          1067
     3.200         1         0         12847
     3.600         1         0          9934
     2.700         0         2         20731
     3.100         1         0          1076
     2.500         1         0          1077
     3.400         1         0          1079
     3.200         1         0          6131
     3.200         2         0          9884
     3.700         1         0         38804
     4.200         2         2         63127
     3.200         1         0         63879
     3.300         2         1         64475
     4.500         4         0          1089
     3.000         1         0         64478
     3.700         2         0         60329
     2.900         1         0          6140
     3.100         2         0         65565
     3.500         0         1          6149
     3.600         1         0          1114
     2.600         1         0         30985
     3.000         1         2         61157
     3.500         2         1          6151
     3.000         1         0          9811
     3.800         1         0          1130
     3.000         2         0         57658
     3.500         1         0          1135
     3.900         1         0          1140
     3.300         1         0          1141
     3.100         0         1          6160
     3.300         0         1          6161
     3.700         0         3          6165
     2.600         0         1          6166
     3.300         1         0          1158
     3.100         1         0          1160
     3.300         0         1          6170
     2.700         1         0          5831
     2.900         1         0          9949
     2.700         1         0          1169
     2.600         1         0          1170
     2.900         1         0          1171
     3.000         1         0          1175
     3.600         1         0         62263
     3.800         2         1          6178
     3.100         0         1          9953
     4.100         3         0         12805
     2.700         1         0         20676
     3.900         3         1          6183
     3.600         1         0         12916
     3.500         1         0          1200
     3.800         1         0          6186
     2.800         1         0          1206
     3.500         1         0          1207
     2.600         1         0          1209
     2.900         0         1          6192
     2.600         1         0         20674
     3.800         6         0         12706
     2.900         1         0          1217
     3.400         1         0          1218
     2.500         1         0         30946
     2.600         1         0          1221
     4.500         1         2          9962
     3.100         1         0          9963
     3.000         1         0          9964
     3.600         3         0         12918
     4.100         1         0         20653
     2.900         1         0          1233
     3.300         1         0          1235
     2.700         1         0          1238
     2.600         1         0          1245
     3.600         2         0          9947
     3.100         1         0          1255
     3.000         0         1         64952
     3.500         0         1          6216
     2.900         1         0          1267
     3.700         0         2         61140
     2.700         1         0          1283
     3.400         4         2          9967
     4.300         3         0          1290
     3.300         2         0         30958
     2.900         1         1         44882
     3.700         1         1          6231
     2.800         1         0          1302
     3.200         0         2          9973
     3.800         3         0          1305
     3.100         1         0          6180
     3.000         1         0          9971
     4.700         8         0          1308
     3.700         1         0          6248
     3.000         0         3          9980
     3.800         1         0          6241
     3.700         3         2          6253
     4.000         2         1         30944
     3.600         1         3          9985
     2.900         1         0         12933
     3.000         1         0          1324
     3.900         4         0          1329
     3.000         1         1          9991
     3.200         1         0          1338
     3.600         3         0          6264
     3.200         1         0          9987
     3.600         1         0          1344
     3.300         1         0          1346
     2.500         1         0          1347
     2.700         0         1          6272
     2.800         1         0          1354
     3.600         1         0          5649
     2.800         2         0          6221
     4.100         3         2         62270
     3.200         2         1          6276
     4.000         5         0          6279
     2.800         1         0          1371
     3.600         1         0          1372
     3.800         0         1         10005
     3.000         0         1         20753
     3.800         1         1         63872
     3.000         0         1          6286
     2.700         0         1         12947
     3.400         0         1          6288
     3.100         0         2         12950
     5.400        21         0          1384
     4.800         6         0          1393
     4.800         8         0          1395
     3.600         1         1         10023
     5.400        53        51         12977
     2.900         1         0         12999
     3.900         3         1         26638
     3.700         2         2         10017
     3.200         0         1         38818
     2.800         1         0         12986
     5.400        34         0         12962
     4.100         2         0         38825
     3.400         1         0         26654
     3.900         0         1          1404
     2.700         1         1          6346
     2.800         1         0          1408
     2.800         1         0         12979
     3.500         2         0         20795
     2.700         2         0          1417
     3.600         6         0         26659
     3.900         5         0         10061
     3.500         0         1         20777
     3.800         3         0          1425
     2.800         1         0         26620
     2.700         1         0         26644
     2.600         1         0         63126
     2.700         2         0          1435
     3.100         1         0          1437
     2.600         1         0         10064
     2.500         1         0          1441
     2.700         1         0          1445
     4.100         1         0         10003
     3.000         1         0          1452
     4.000         2         0          1454
     3.900         0         1         10067
     3.500         3         1         12940
     4.500         4         0          1456
     4.000         1         0          6371
     3.400         1         0          1458
     4.600         6         0          1467
     2.800         0         1         26666
     3.000         1         0         12928
     3.400         2         0          1475
     4.300         5         1          6387
     3.500         0         1          6388
     3.000         1         0          6386
     3.300         2         0          1491
     3.800         2         0         10089
     2.700         1         0          6396
     3.900         4         0         13028
     2.600         0         1         10092
     3.300         2         0          5963
     3.700         3         0          1517
     4.300         5         2         20833
     4.200         4         1         10096
     3.600         3         2         13041
     3.500         1         0          1525
     4.000         1         1         20854
     4.900        13         0          1535
     4.000         4         1          6421
     4.800        13         0         10103
     3.500         5         0         13052
     2.800         1         0          1545
     2.500         1         0          1546
     3.400         0         1          6426
     4.500         8         1         26702
     3.300         2         0          1553
     4.100         4         0          1559
     2.700         1         0          1561
     3.700         2         0          6432
     4.300         3         0         26639
     3.200         2         1         35248
     2.700         1         0         10115
     3.800         3         0          1566
     3.800         2         1         10014
     2.700         0         1         26619
     2.800         0         1         10093
     2.700         1         0          6430
     2.800         0         1          6437
     4.000         2         0          1584
     3.200         0         1          6442
     3.100         1         0         10119
     5.800        51         1         20908
     3.800         1         0          6390
     4.700        18         0         10083
     3.600         1         1         26692
     2.600         1         0         26720
     4.300         1         0         38843
     3.300         1         0         42126
     2.500         1         0          1596
     3.000         1         1          6446
     2.800         1         0          1599
     3.000         0         1         13026
     3.600         5         0         20844
     3.500         4         1          6449
     3.400         1         0          1609
     4.000         2         0          1610
     3.900         3         0          6457
     5.500        50         0         13064
     3.100         5         0         20957
     2.700         1         0         35287
     3.100         2         0          6250
     2.900         0         1         10130
     3.300         1         0          1621
     2.900         1         1         10132
     3.600         2         0         26761
     3.000         1         1         20959
     4.000         1         0          1626
     3.800         1         0          1628
     4.000         6         0         42136
     3.200         1         0         44927
     4.600        15         0         13013
     4.000         0         2         35276
     4.900        16         0          1631
     4.800         7         0         47384
     3.000         1         0          6468
     3.200         0         2         52194
     3.000         2         0         54290
     3.100         1         0          1634
     4.000         1         6         10143
     3.100         1         0         26776
     3.700         1         0         13077
     3.300         1         0         56145
     2.900         1         0          6494
     4.300         4         0         20964
     3.400         1         0         38840
     3.300         3         0          1654
     2.800         2         0          1658
     4.500        11         0         20819
     2.900         1         0          1659
     3.200         1         0          1660
     2.900         1         0          6502
     2.700         1         0          1662
     3.000         1         0         10150
     2.700         0         1         35255
     3.700         5         1          6507
     3.800         1         0          6485
     4.100         6         1          6508
     3.400         1         0          1688
     3.400         1         0          6510
     4.100         4         0         31115
     3.600         2         0          1692
     3.500         1         0         35311
     2.900         1         0         10161
     2.600         1         0         35310
     3.500         1         0          6517
     3.400         1         0         13089
     4.000         3         0          1709
     2.900         0         1         10166
     3.800         2         0         26777
     3.700         1         1          6529
     4.300         1         0         35302
     2.800         1         0         20958
     2.900         0         2         10173
     2.800         0         1          6532
     3.000         2         0         38852
     4.600        11         1         47387
     4.000         6         2         31112
     2.500         1         0         35303
     4.300         5         0         49831
     2.600         1         0         13087
     3.000         0         1          6533
     2.700         0         1         52197
     2.900         1         0          1736
     4.100         5         0          1744
     3.900         2         1          6541
     3.300         0         1         20973
     4.200         5         0          1755
     2.600         1         0          1757
     4.500        14         0          1758
     3.400         1         0         26791
     2.900         0         2         13112
     2.800         2         0          1763
     3.600         1         0          6561
     2.900         0         1          6562
     4.200         1         0         10186
     3.200         1         0          6382
     2.900         1         0         10072
     2.500         1         0          1778
     2.900         0         1         31100
     3.800         3         4         13116
     3.000         1         1          6569
     3.100         3         0          6568
     2.900         1         0          6570
     4.400         4         0          1787
     3.200         1         0         10190
     3.500         2         0          6566
     3.300         1         0         38855
     3.000         2         0          6576
     3.500         2         0         26750
     2.600         1         0         31043
     4.500         5         0          1795
     3.400         0         1          6589
     3.000         0         1          6591
     3.900         3         0         38854
     2.900         1         0          6573
     3.700         3         1          6592
     3.600         1         0          1810
     3.000         1         0         20855
     3.000         1         1          6595
     4.000         3         1         20980
     5.800       109         1          6596
     2.700         1         0         26826
     2.700         1         1         21000
     4.000         4         0         21002
     2.700         1         0         13181
     3.300         0         1         13166
     3.800         9         0          1817
     2.800         1         0         26751
     5.100        18         0         26821
     2.800         1         0         13173
     3.400         0         1         21014
     2.700         0         1         13125
     4.400         4         0         10275
     4.200         1         0         13178
     3.400         1         0          6603
     2.800         1         0         10206
     2.500         1         0          1824
     3.100         1         0         10222
     5.300        24         0          1827
     2.700         1         0          1829
     2.700         1         0          1831
     3.800         1         0         20997
     2.900         2         0         12811
     2.600         1         0          1834
     3.200         1         0         13164
     3.600         1         0         31139
     3.300         1         0         26811
     3.500         1         0          6598
     2.600         1         0         35323
     3.400         2         0         10285
     3.500         2         0         31085
     4.400         5         0          1838
     4.400         5         5         26839
     4.200         3         0          1839
     2.900         0         1         35320
     3.400         1         0          6650
     4.400         6         0         10308
     3.100         2         0         21023
     4.500         4         3         26835
     4.000         1         2         13197
     2.600         1         0         21042
     3.600         1         0         21032
     3.300         1         0         35339
     4.800        11         0         31105
     3.900         8         0          1847
     4.000         1         0          1849
     4.700         7         0          6656
     3.300         1         0          6639
     4.100         6         0          1851
     4.200         2         0         13204
     3.000         2         0         10231
     4.200         4         0         20982
     3.600         1         0         26798
     2.700         1         0         21051
     3.000         1         0         26797
     3.200         2         0         38849
     2.700         1         0          6667
     2.700         1         0          1866
     3.400         1         0         31152
     3.800         2         0          6671
     3.000         1         0         26832
     3.300         2         0          1893
     2.900         1         0          1896
     3.700         3         1          6681
     4.500        11         0          1903
     4.300         5         1         21062
     3.300         9         0         21063
     4.100         1         0          6694
     3.800         1         0          6668
     3.300         1         0         10343
     3.700         1         0          6695
     4.000        10         2         13214
     2.800         1         0         26854
     4.000         2         0          1912
     3.500         2         1          6699
     3.400         1         0          1917
     3.800         5         0         20989
     3.400         5         0         31125
     3.600         1         0          1918
     3.200         2         0         13224
     3.100         0         1         10351
     3.000         4         0         13225
     3.300         1         0         31187
     4.500         9         6         26868
     3.800         1         0         38876
     2.500         1         0         31192
     3.300         0         4         10355
     3.000         0         1          6709
     3.000         1         0         13228
     3.000         0         1          6710
     3.000         0         1          6711
     2.900         1         0         26816
     2.700         0         1          6714
     3.000         1         0         26866
     4.000         1         0          6716
     2.800         1         0          6712
     3.400         0         1          6718
     3.400         0         1          6721
     3.000         0         1          6723
     3.000         1         0         13145
     2.600         1         0          1957
     4.600         7         1          6725
     3.400         2         0         21079
     4.300         1         0          1961
     3.800         4         0         10369
     2.800         0         1         10373
     4.000         5         0          1970
     3.100         0         1         13236
     3.300         1         0          6742
     3.500         1         0         10379
     3.000         0         1          6745
     4.500         4         0         10168
     2.900         1         1         26789
     2.700         1         0          1986
     6.000       147         0          1989
     4.600         8         0         38878
     2.500         1         0          1990
     3.000         0         1          6841
     3.300         2         0          6767
     2.800         0         1         42156
     3.100         0         2         13282
     3.100         2         0         13106
     2.900         1         0          2006
     5.100        22         0          6752
     4.100         1         0         10397
     3.900         1         0         10444
     4.300         5         2         10462
     4.000         5         0         13297
     2.900         1         0         21111
     3.300         0         1         13279
     4.200         2         1          6849
     4.000         1         0          6748
     3.600         1         0         10204
     2.800         1         0          2025
     2.500         1         0         12632
     3.300         2         0          2035
     3.100         2         0          2037
     3.000         1         0          2038
     2.900         0         1         21103
     4.300         2         3         10474
     5.300        54         0          6861
     3.500         1         1         13234
     3.000         1         0         21089
     2.800         1         0          2055
     3.500         3         1          6865
     2.800         0         1          6867
     3.400         2         0          2068
     3.900         4         0          6866
     3.100         1         0          2070
     3.200         2         0          2075
     3.800         0         1          6880
     3.100         1         0         21107
     3.800         4         0         10516
     3.700         1         0         13265
     3.400         2         1         13223
     4.300         5         1         38869
     3.400         2         0          2110
     3.000         1         0          6891
     2.600         1         0          2115
     3.700         2         0         42151
     4.900         7         1         26904
     4.700         3         0         38879
     3.000         1         0          2120
     3.000         1         0         44940
     3.800         2         0         35363
     3.800         2         0          2123
     4.200         1         0         13238
     3.100         1         0          2131
     2.900         0         1         10518
     5.200        23         0          2136
     3.300         1         0          2137
     4.100         1         0         13340
     4.100         3         0          6918
     4.100         2         0          6912
     3.100         1         0          2149
     2.800         3         0         10541
     3.000         0         1          6923
     3.700         3         0          6924
     4.300         5         1         13339
     3.600         2         1         38885
     4.000         4         1          6927
     3.100         2         0          2158
     3.500         1         1          6930
     2.800         4         0         12737
     3.100         1         0          2166
     4.000         3         0          6933
     3.600         0         1          6936
     3.100         3         0          2178
     2.900         1         0          2195
     3.200         0         1         10561
     3.100         1         1          6947
     3.600         1         0         10553
     2.700         1         0          2205
     3.200         1         1         10564
     4.100         4         0          2210
     3.000         0         2         10565
     2.800         1         0          2214
     3.500         1         0          2217
     3.600         0         1          6959
     2.700         0         1          6960
     3.700         1         0          2224
     3.200         1         0          6962
     3.700         3         0          2226
     3.600         2         0          2229
     3.300         1         0          6965
     4.100         2         1         21143
     3.700         1         1          6970
     3.900         2         0         10571
     4.200         5         0          6971
     3.500         1         0         10572
     4.400         3         0         13360
     3.000         1         0         21145
     2.800         1         0          2237
     3.900         4         0         10580
     4.300         3         0          2239
     3.500         1         0          6981
     3.300         1         0          2241
     3.300         1         0          2243
     2.900         1         0         10589
     3.300         2         0          6985
     2.800         1         0          2247
     3.000         2         2         13218
     2.500         1         0          2248
     3.100         0         1         21117
     5.200        42         2         10593
     3.100         0         1         31419
     2.700         1         0          6992
     3.000         2         1          6994
     2.700         0         1          6998
     3.800         4         0          2264
     2.500         1         0          2265
     3.500         0         1          7006
     3.300         1         0          2268
     2.800         0         1          7009
     4.400         3         1          7011
